iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,1000157,1000157,37250,37250,12,1,19.801320494972963,12.754201071870252,26.849852348993288,19.801320494972963,12.754201071870252,26.849852348993288,10.17171859741211,10.21578311920166,nan,nan,2.7568156719207764,0.0003123011556454003,nan,1.2791123390197754,nan,nan,nan,nan,93.9064211845398,0.8475205898284912,0.0,94.75395941734314
2,2,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,2000352,1000195,35157,35157,12,1,21.387479421919856,14.275563908368083,28.449384190915037,21.387479421919856,14.275563908368083,28.449384190915037,11.190971374511719,11.241669654846191,nan,nan,2.755509614944458,0.00035839618067257106,nan,1.3833481073379517,nan,nan,nan,nan,93.84731602668762,0.5600802898406982,0.0,94.40740299224854
3,3,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,3000506,1000154,33065,33065,12,1,23.240089268787287,16.298580730765142,30.248117344624227,23.240089268787287,16.298580730765142,30.248117344624227,12.448179244995117,12.508722305297852,nan,nan,2.7538578510284424,0.00042779440991580486,nan,1.510812520980835,nan,nan,nan,nan,94.20496535301208,0.5583317279815674,0.0,94.76330161094666
4,4,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,4000845,1000339,30702,30702,12,1,25.626117490075117,18.866084374431846,32.58220962803726,25.626117490075117,18.866084374431846,32.58220962803726,14.032280921936035,14.103199005126953,nan,nan,2.752930164337158,0.00050133973127231,nan,1.6510937213897705,nan,nan,nan,nan,94.51357388496399,0.557544469833374,0.0,95.07112288475037
5,5,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,5001040,1000195,28083,28083,12,1,28.742621091239055,21.912972273744092,35.61567496350105,28.742621091239055,21.912972273744092,35.61567496350105,15.935348510742188,16.019325256347656,nan,nan,2.750840663909912,0.0005946270539425313,nan,1.7843453884124756,nan,nan,nan,nan,94.85024881362915,0.5565338134765625,0.0,95.4067873954773
6,6,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,6001313,1000273,25316,25316,12,1,33.02171490619232,26.52384798948405,39.51149470690473,33.02171490619232,26.52384798948405,39.51149470690473,18.676427841186523,18.782255172729492,nan,nan,2.748110771179199,0.000755312095861882,nan,1.9238550662994385,nan,nan,nan,nan,95.14765620231628,0.5590589046478271,0.0,95.70672011375427
7,7,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,7001607,1000294,22067,22067,12,1,39.17544214393853,33.18453252621722,45.329859065573025,39.17544214393853,33.18453252621722,45.329859065573025,22.365568161010742,22.493017196655273,nan,nan,2.7443809509277344,0.0009083619806915522,nan,2.146353244781494,nan,nan,nan,nan,95.75795912742615,0.559267520904541,0.0,96.31723189353943
8,8,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,8002002,1000395,18723,18723,12,1,48.25463190706061,42.2315891211159,53.43134113122897,48.25463190706061,42.2315891211159,53.43134113122897,27.290071487426758,27.446582794189453,nan,nan,2.7405405044555664,0.0011263313936069608,nan,2.282578468322754,nan,nan,nan,nan,96.01605868339539,0.5562148094177246,0.0,96.57227802276611
9,9,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,9002579,1000577,15158,15158,12,1,62.643500950467924,55.23867855018754,66.00982979284866,62.643500950467924,55.23867855018754,66.00982979284866,34.09074783325195,34.2742805480957,nan,nan,2.734560251235962,0.0013258486287668347,nan,2.4178435802459717,nan,nan,nan,nan,96.67792177200317,0.5580615997314453,0.0,97.23598861694336
10,10,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,10003163,1000584,11842,11842,12,1,84.82236525598118,71.48969496670854,84.49451106232056,84.82236525598118,71.48969496670854,84.49451106232056,42.480010986328125,42.669734954833984,nan,nan,2.7276649475097656,0.001368085853755474,nan,2.540160894393921,nan,nan,nan,nan,97.65413618087769,0.5566442012786865,0.0,98.21078419685364
11,11,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,11003788,1000625,9195,9195,12,1,114.54379863449564,89.7295067603222,108.82272974442633,114.54379863449564,89.7295067603222,108.82272974442633,51.324039459228516,51.49675750732422,nan,nan,2.7190656661987305,0.0012221914948895574,nan,2.894686460494995,nan,nan,nan,nan,97.52547335624695,0.555809497833252,0.0,98.08128786087036
12,12,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,12004247,1000459,7292,7292,12,1,150.04349472246392,101.21919328207301,137.19953373560065,150.04349472246392,101.21919328207301,137.19953373560065,58.90315628051758,59.02842330932617,nan,nan,2.7098655700683594,0.000854355632327497,nan,2.9928386211395264,nan,nan,nan,nan,97.8879508972168,0.5586273670196533,0.0,98.44658303260803
13,13,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,13005915,1001668,6253,6253,12,1,179.9862588195734,108.80367573520189,160.18998880537342,179.9862588195734,108.80367573520189,160.18998880537342,64.25763702392578,64.3362808227539,nan,nan,2.700584650039673,0.0004889282863587141,nan,3.129572868347168,nan,nan,nan,nan,98.21977114677429,0.5613460540771484,0.0,98.78112196922302
14,14,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,14007255,1001340,5588,5588,12,1,204.219989308768,111.57263823605291,179.1947029348604,204.219989308768,111.57263823605291,179.1947029348604,67.76009368896484,67.81436157226562,nan,nan,2.690890312194824,0.0003089240053668618,nan,3.0437958240509033,nan,nan,nan,nan,98.6797730922699,0.5568838119506836,0.0,99.23666167259216
