index,epoch,train_return_mean_mean,train_return_mean_std,num_seeds,label,env_id
0,1,5.68043362094075,8.687196555396666,3,TRPO,Swimmer-v5
1,2,21.814067912833625,3.5558131102540242,3,TRPO,Swimmer-v5
2,3,24.495967797911447,2.596660201046082,3,TRPO,Swimmer-v5
3,4,26.211488188932083,4.045046456636368,3,TRPO,Swimmer-v5
4,5,27.036857891484292,4.047677494229528,3,TRPO,Swimmer-v5
5,6,27.07894009650254,1.817557570745377,3,TRPO,Swimmer-v5
6,7,26.875318796041597,1.5563446116446815,3,TRPO,Swimmer-v5
7,8,28.082987182040032,1.7489169839492995,3,TRPO,Swimmer-v5
8,9,28.951530644404468,2.128388022446105,3,TRPO,Swimmer-v5
9,10,29.748157727385955,1.850453029515464,3,TRPO,Swimmer-v5
10,11,30.57196231256104,2.1128827005167827,3,TRPO,Swimmer-v5
11,12,30.894388585705787,1.9007992467472101,3,TRPO,Swimmer-v5
12,13,31.927183981320507,1.8568234212358665,3,TRPO,Swimmer-v5
13,14,31.87428575342946,1.7838192620979607,3,TRPO,Swimmer-v5
14,15,32.49407874834837,1.077404147968838,3,TRPO,Swimmer-v5
15,16,32.74103330809549,0.13176462543390313,3,TRPO,Swimmer-v5
16,17,33.63509066829937,0.9609667684565334,3,TRPO,Swimmer-v5
17,18,33.80781442201466,0.9547617752921489,3,TRPO,Swimmer-v5
18,19,33.18031730276283,0.7589774594544542,3,TRPO,Swimmer-v5
19,20,33.169978706550985,0.6359775507374708,3,TRPO,Swimmer-v5
20,21,32.93731700087663,3.5271132589434924,3,TRPO,Swimmer-v5
21,22,34.011175467171114,1.752587123939115,3,TRPO,Swimmer-v5
22,23,33.87436036432904,2.272739111690855,3,TRPO,Swimmer-v5
23,24,34.63195669628545,2.335140707758298,3,TRPO,Swimmer-v5
24,25,34.22590760593983,1.267728337765436,3,TRPO,Swimmer-v5
25,26,33.60784506613617,1.985639234602179,3,TRPO,Swimmer-v5
26,27,34.06672122229367,1.6759592362422056,3,TRPO,Swimmer-v5
27,28,34.947458565922055,2.0366824015165097,3,TRPO,Swimmer-v5
28,29,33.82505572455983,0.43389388350271035,3,TRPO,Swimmer-v5
29,30,34.90384409306902,2.014352518428068,3,TRPO,Swimmer-v5
30,31,34.965464708244234,2.079503591740238,3,TRPO,Swimmer-v5
31,32,34.449808067591285,1.701527550953723,3,TRPO,Swimmer-v5
