index,epoch,train_return_mean_mean,train_return_mean_std,num_seeds,label,env_id
0,1,-3.578277112255359,4.314014687922374,3,TRPO,Walker2d-v5
1,2,-1.6974230994990538,4.091348485863283,3,TRPO,Walker2d-v5
2,3,0.7807840503396081,4.408352962775039,3,TRPO,Walker2d-v5
3,4,4.16506817165717,5.981533815938972,3,TRPO,Walker2d-v5
4,5,9.023945769463579,9.4046330760732,3,TRPO,Walker2d-v5
5,6,16.303103506219994,15.219981008701541,3,TRPO,Walker2d-v5
6,7,26.14458612380608,22.895425385362895,3,TRPO,Walker2d-v5
7,8,40.89993737485824,32.14656188006708,3,TRPO,Walker2d-v5
8,9,61.33234856394111,42.236539376546546,3,TRPO,Walker2d-v5
9,10,88.93684412518803,54.97188069849155,3,TRPO,Walker2d-v5
10,11,121.27357545858085,64.72709705131466,3,TRPO,Walker2d-v5
11,12,158.1816280847388,66.17200195683202,3,TRPO,Walker2d-v5
12,13,199.32586565112737,59.38368648734309,3,TRPO,Walker2d-v5
13,14,239.24722527413522,52.72167395293624,3,TRPO,Walker2d-v5
14,15,268.1936839348432,54.680112462207276,3,TRPO,Walker2d-v5
15,16,276.3444461910396,55.41785413565949,3,TRPO,Walker2d-v5
16,17,279.7756869142082,56.508617920868616,3,TRPO,Walker2d-v5
17,18,280.85341435169744,55.30218435208422,3,TRPO,Walker2d-v5
18,19,279.29322146569126,51.755255661202476,3,TRPO,Walker2d-v5
19,20,277.3276061318625,48.36967079856868,3,TRPO,Walker2d-v5
20,21,278.7135688021767,49.36450272175063,3,TRPO,Walker2d-v5
21,22,277.7456465697165,45.977891672395934,3,TRPO,Walker2d-v5
22,23,279.09427994293884,47.011763614748354,3,TRPO,Walker2d-v5
23,24,280.01236345463076,45.27311076655379,3,TRPO,Walker2d-v5
24,25,280.76120805166266,45.63097961809798,3,TRPO,Walker2d-v5
25,26,279.57071377024306,45.33073814891491,3,TRPO,Walker2d-v5
26,27,279.2586927363686,44.23958618628872,3,TRPO,Walker2d-v5
27,28,279.84199792198416,43.36777379976769,3,TRPO,Walker2d-v5
28,29,280.5941684311309,43.65046884386599,3,TRPO,Walker2d-v5
29,30,281.82012942445414,43.22833324861705,3,TRPO,Walker2d-v5
30,31,280.60237810228705,41.02312478241765,3,TRPO,Walker2d-v5
31,32,281.65846617525625,42.47153170930817,3,TRPO,Walker2d-v5
32,33,282.1274049482863,41.46836032516099,3,TRPO,Walker2d-v5
33,34,282.78055238709726,44.38983407635885,3,TRPO,Walker2d-v5
34,35,283.97706484900334,45.69244849856486,3,TRPO,Walker2d-v5
35,36,283.84788241035926,44.87297784661329,3,TRPO,Walker2d-v5
36,37,285.30782787023514,45.985740041192415,3,TRPO,Walker2d-v5
37,38,286.25731417953654,47.617664144558795,3,TRPO,Walker2d-v5
38,39,288.3312844526619,46.68915904083947,3,TRPO,Walker2d-v5
39,40,289.226749961454,45.62018915241958,3,TRPO,Walker2d-v5
40,41,291.722069925728,47.42855609539687,3,TRPO,Walker2d-v5
41,42,293.5781626778329,48.569450517111164,3,TRPO,Walker2d-v5
42,43,294.8978718553,50.59315697555026,3,TRPO,Walker2d-v5
43,44,295.9863769100711,51.79365463811803,3,TRPO,Walker2d-v5
44,45,297.1763051623063,52.89115955445786,3,TRPO,Walker2d-v5
45,46,299.0991512712603,57.491909194641636,3,TRPO,Walker2d-v5
46,47,300.7013885473515,58.34913240862317,3,TRPO,Walker2d-v5
47,48,302.89493458512055,58.286812941115365,3,TRPO,Walker2d-v5
48,49,305.4587454339322,59.6564481245616,3,TRPO,Walker2d-v5
49,50,305.4010119278756,60.262827212033095,3,TRPO,Walker2d-v5
50,51,305.68894846139864,60.19159622682902,3,TRPO,Walker2d-v5
51,52,306.15418823046883,60.03219306800708,3,TRPO,Walker2d-v5
52,53,308.0791638830856,60.49283283401837,3,TRPO,Walker2d-v5
53,54,310.8134741816498,59.36843717690866,3,TRPO,Walker2d-v5
54,55,312.2628715609884,59.102273649037215,3,TRPO,Walker2d-v5
55,56,313.0195417006884,60.69957686666962,3,TRPO,Walker2d-v5
56,57,313.1715661746655,60.675422937289305,3,TRPO,Walker2d-v5
57,58,315.61275214246325,59.83543430848778,3,TRPO,Walker2d-v5
58,59,315.2754452479257,59.89958005432347,3,TRPO,Walker2d-v5
59,60,316.55640227704004,60.49719912635498,3,TRPO,Walker2d-v5
60,61,317.28251188284935,59.97114015471167,3,TRPO,Walker2d-v5
61,62,317.07540641742975,60.357868057529394,3,TRPO,Walker2d-v5
62,63,317.16169514803397,60.610336162723094,3,TRPO,Walker2d-v5
63,64,318.3800465112376,60.209471903987414,3,TRPO,Walker2d-v5
64,65,318.36409124228317,62.712314795216614,3,TRPO,Walker2d-v5
65,66,319.10980702390833,63.190276430052855,3,TRPO,Walker2d-v5
66,67,319.6934455631613,62.567112272078596,3,TRPO,Walker2d-v5
67,68,320.2277276863809,61.87642528081401,3,TRPO,Walker2d-v5
68,69,321.3385918082383,60.84232905253912,3,TRPO,Walker2d-v5
69,70,321.448728814455,59.46452225271008,3,TRPO,Walker2d-v5
