index,epoch,train_return_mean_mean,train_return_mean_std,num_seeds,label,env_id
0,1,30.127192881617688,29.813458838387906,3,TRPO,Hopper-v5
1,2,44.929647225166356,44.92985908663427,3,TRPO,Hopper-v5
2,3,61.07848001012335,50.87722674812123,3,TRPO,Hopper-v5
3,4,95.49921963036212,70.50638238200554,3,TRPO,Hopper-v5
4,5,135.79637712930688,100.48393253632955,3,TRPO,Hopper-v5
5,6,178.11947731829756,133.30180143655969,3,TRPO,Hopper-v5
6,7,217.28279518163927,166.2215883986328,3,TRPO,Hopper-v5
7,8,268.7854390907186,223.23067176558044,3,TRPO,Hopper-v5
8,9,318.9731728981929,268.48239790414164,3,TRPO,Hopper-v5
9,10,306.32875248899694,214.60705463073376,3,TRPO,Hopper-v5
10,11,301.4934096165029,172.2711614184422,3,TRPO,Hopper-v5
11,12,315.9937793470529,156.8676541551416,3,TRPO,Hopper-v5
12,13,328.73270834156455,141.4114885501044,3,TRPO,Hopper-v5
13,14,331.18975294493066,119.03458576672679,3,TRPO,Hopper-v5
14,15,335.9182934463484,108.62813162494407,3,TRPO,Hopper-v5
15,16,345.09704477568556,110.36140384435498,3,TRPO,Hopper-v5
16,17,351.88675905164945,111.56331076874129,3,TRPO,Hopper-v5
17,18,371.8385300531739,132.6002721683604,3,TRPO,Hopper-v5
18,19,393.3840036474173,161.99120729636846,3,TRPO,Hopper-v5
19,20,427.643206862516,207.9203056191471,3,TRPO,Hopper-v5
20,21,439.00494803201826,221.86028169210064,3,TRPO,Hopper-v5
21,22,455.13239182495107,241.29425712364653,3,TRPO,Hopper-v5
22,23,471.5433489689958,256.49771723321834,3,TRPO,Hopper-v5
23,24,495.8338763241577,280.3417025808592,3,TRPO,Hopper-v5
24,25,504.34862116136634,290.70558380052915,3,TRPO,Hopper-v5
25,26,513.8639902309409,298.8684186330752,3,TRPO,Hopper-v5
26,27,521.172836573697,303.9119622486278,3,TRPO,Hopper-v5
27,28,524.7634501389203,298.916806820914,3,TRPO,Hopper-v5
28,29,521.3916485488585,286.20891783349674,3,TRPO,Hopper-v5
29,30,532.9420438689767,292.9446845918065,3,TRPO,Hopper-v5
30,31,543.245119734382,282.6762526138746,3,TRPO,Hopper-v5
31,32,570.2145661708928,307.0188133914341,3,TRPO,Hopper-v5
32,33,612.6893225081212,318.8455436458456,3,TRPO,Hopper-v5
33,34,632.8154766669633,300.8281298526295,3,TRPO,Hopper-v5
34,35,658.3000841850086,295.4559695966319,3,TRPO,Hopper-v5
35,36,658.5838637510107,282.07727905624444,3,TRPO,Hopper-v5
36,37,696.5558732629114,298.498096509827,3,TRPO,Hopper-v5
37,38,715.5963315263867,285.88423319676997,3,TRPO,Hopper-v5
38,39,742.6117076417581,300.4978815954916,3,TRPO,Hopper-v5
39,40,818.4812121540635,359.5610149519867,3,TRPO,Hopper-v5
40,41,840.2338377339505,375.05429486769367,3,TRPO,Hopper-v5
41,42,897.7702067639651,418.6674134866603,3,TRPO,Hopper-v5
42,43,905.8329754544847,425.73555279886375,3,TRPO,Hopper-v5
43,44,924.6520712402547,439.4715169457232,3,TRPO,Hopper-v5
44,45,933.3780539128802,444.72873625872785,3,TRPO,Hopper-v5
45,46,903.6943594969777,406.8874135142916,3,TRPO,Hopper-v5
46,47,970.4374906960057,467.04848237011527,3,TRPO,Hopper-v5
