label,env_id,metric,x_axis,final_x,final_mean,final_std,best_x,best_mean,best_std,num_seeds
NPG 1x stepsize,Hopper-v5,train_return_mean,epoch,200.0,552.2587878605339,335.5144440844377,200.0,552.2587878605339,335.5144440844377,3
NPG 3x stepsize,Hopper-v5,train_return_mean,epoch,200.0,1168.9591400810984,201.11090813170082,196.0,1172.8333752538836,194.81977617251158,3
NPG 9x stepsize,Hopper-v5,train_return_mean,epoch,200.0,1406.2715395622254,264.41886085099776,168.0,2735.6346177454884,138.00264654913744,3
