label,env_id,metric,x_axis,final_x,final_mean,final_std,best_x,best_mean,best_std,num_seeds
TRPO,ALE/Qbert-v5,train_return_mean,epoch,300.0,776.9633507853404,,275.0,852.1683673469388,,1
PPO,ALE/Qbert-v5,train_return_mean,epoch,300.0,722.7810650887574,,233.0,837.8787878787879,,1
