label,env_id,metric,x_axis,final_x,final_mean,final_std,best_x,best_mean,best_std,num_seeds
TRPO,ALE/Pong-v5,train_return_mean,epoch,252.0,-4.038461538461538,,251.0,-2.52,,1
PPO,ALE/Pong-v5,train_return_mean,epoch,300.0,-20.21904761904762,,116.0,-19.88235294117647,,1
