label,env_id,metric,x_axis,final_x,final_mean,final_std,best_x,best_mean,best_std,num_seeds
TRPO,ALE/Enduro-v5,train_return_mean,epoch,300.0,0.0,,1.0,0.0,,1
PPO,ALE/Enduro-v5,train_return_mean,epoch,300.0,0.0,,1.0,0.0,,1
